Date,Transation,Amount,Category,Pmt Method,Type,Balance,Big Spender,"$20,000.00"
02/17/2024,Jewelry,$752.98,Running,Round Up,Expense,"-$32,085.36",Not Much,44
02/18/2024,Outdoors,$743.75,Home,Another Card,Expense,"-$32,829.11",Not Much,43
02/18/2024,Music,$613.78,Clothing ,Capital One,Expense,"-$33,442.89",Not Much,42
02/19/2024,Industrial,$236.92,Clothing ,Apple,Expense,"-$33,679.81",Not Much,41
02/19/2024,Jewelry,"$1,452.74",Medical,Amazon,Expense,"-$35,132.55",Big Spender,41
02/19/2024,Health,"$1,226.55",Donation,Capital One,Expense,"-$36,359.10",Big Spender,40
02/21/2024,Computers,"$1,139.86",Grocery,Check,Expense,"-$37,498.96",Big Spender,39
02/21/2024,Industrial,"$1,202.61",Eating Out,Round Up,Expense,"-$38,701.57",Big Spender,38
02/22/2024,Sports,$883.76,Grocery,Another Card,Expense,"-$39,585.33",Not Much,37
02/23/2024,Jewelry,"$1,148.86",Grocery,Capital One,Expense,"-$40,734.19",Big Spender,36
02/24/2024,Outdoors,$606.89,Eating Out,Apple,Expense,"-$41,341.08",Not Much,35
02/24/2024,Grocery,"$1,369.59",Grocery,Amazon,Expense,"-$42,710.67",Big Spender,34
02/24/2024,Jewelry,"$1,355.20",Running,Capital One,Expense,"-$44,065.87",Big Spender,33
02/25/2024,Baby,$397.88,Running,Check,Expense,"-$44,463.75",Not Much,32
02/26/2024,Music,"$1,404.34",Home,Round Up,Expense,"-$45,868.09",Big Spender,32
02/27/2024,Games,"$1,245.19",Clothing ,Another Card,Expense,"-$47,113.28",Big Spender,31
02/27/2024,Books,$97.41,Clothing ,Capital One,Expense,"-$47,210.69",Not Much,30
02/27/2024,Health,$688.57,Medical,Apple,Expense,"-$47,899.26",Not Much,30
02/29/2024,Electronics,$902.42,Donation,Amazon,Expense,"-$48,801.68",Not Much,29
03/01/2024,Paycheck,"$2,000.00",Grocery,Capital One,Expense,"-$50,801.68",Big Spender,28
03/01/2024,Movies,"$1,150.56",Eating Out,Check,Expense,"-$51,952.24",Big Spender,27
03/04/2024,Computers,"$1,726.09",Grocery,Round Up,Expense,"-$53,678.33",Big Spender,26
03/05/2024,Health,"$1,078.28",Grocery,Another Card,Expense,"-$54,756.61",Big Spender,25
03/07/2024,Clothing,"$1,809.49",Eating Out,Capital One,Expense,"-$56,566.10",Big Spender,24
03/07/2024,Grocery,$835.07,Grocery,Apple,Expense,"-$57,401.17",Not Much,23
03/07/2024,Industrial,$519.21,Running,Amazon,Expense,"-$57,920.38",Not Much,22
03/08/2024,Kids,"$1,804.14",Running,Capital One,Expense,"-$59,724.52",Big Spender,21
03/09/2024,Toys,$736.08,Home,Check,Expense,"-$60,460.60",Not Much,20
03/09/2024,Grocery,"$1,982.56",Clothing ,Round Up,Expense,"-$62,443.16",Big Spender,19
03/10/2024,Kids,$164.21,Clothing ,Another Card,Expense,"-$62,607.37",Not Much,18
03/10/2024,Games,$402.56,Medical,Capital One,Expense,"-$63,009.93",Not Much,18
03/11/2024,Computers,$206.25,Donation,Apple,Expense,"-$63,216.18",Not Much,18
03/12/2024,Computers,"$1,274.74",Grocery,Amazon,Expense,"-$64,490.92",Big Spender,18
03/12/2024,Grocery,$918.53,Eating Out,Capital One,Expense,"-$65,409.45",Not Much,17
03/12/2024,Games,$689.00,Grocery,Check,Expense,"-$66,098.45",Not Much,16
03/14/2024,Computers,$229.30,Grocery,Round Up,Expense,"-$66,327.75",Not Much,15
03/14/2024,Computers,"$1,241.46",Eating Out,Another Card,Expense,"-$67,569.21",Big Spender,15
03/14/2024,Toys,"$1,303.49",Grocery,Capital One,Expense,"-$68,872.70",Big Spender,14
03/15/2024,Paycheck,"$2,000.00",Running,Apple,Expense,"-$70,872.70",Big Spender,13
03/15/2024,Health,"$1,707.22",Running,Amazon,Expense,"-$72,579.92",Big Spender,12
03/17/2024,Home,"$1,341.00",Home,Capital One,Expense,"-$73,920.92",Big Spender,11
03/22/2024,Toys,"$1,023.46",Clothing ,Check,Expense,"-$74,944.38",Big Spender,10
03/22/2024,Home,$605.85,Clothing ,Round Up,Expense,"-$75,550.23",Not Much,9
03/22/2024,Computers,"$1,996.48",Medical,Another Card,Expense,"-$77,546.71",Big Spender,8
03/22/2024,Games,"$1,259.71",Donation,Capital One,Expense,"-$78,806.42",Big Spender,7
03/23/2024,Grocery,$373.75,Grocery,Apple,Expense,"-$79,180.17",Not Much,6
03/23/2024,Bonus,"$9,800.00",Eating Out,Amazon,Expense,"-$88,980.17",Big Spender,6
03/23/2024,Kids,"$1,264.74",Grocery,Capital One,Expense,"-$90,244.91",Big Spender,5
03/27/2024,Home,$75.79,Grocery,Check,Expense,"-$90,320.70",Not Much,4
03/28/2024,Health,"$1,688.95",Eating Out,Round Up,Expense,"-$92,009.65",Big Spender,4
03/28/2024,Movies,"$1,001.43",Grocery,Another Card,Expense,"-$93,011.08",Big Spender,3
03/29/2024,Electronics,$278.11,Running,Capital One,Expense,"-$93,289.19",Not Much,2
03/30/2024,Jewelry,"$1,377.46",Running,Apple,Expense,"-$94,666.65",Big Spender,2
03/30/2024,Electronics,"$1,558.30",Home,Amazon,Expense,"-$96,224.95",Big Spender,1
